"","logFC","logCPM","F","PValue","FDR"
"lgals3b",-1.88978344882759,6.69365842624547,42.1705273180025,1.29233543558809e-05,0.00369049968432564
"si:dkey-93l1.9",-1.96282061582796,4.32285251050849,42.1509936137882,1.29559514832175e-05,0.00369049968432564
"tgm5l",-3.13247530517676,1.96479921820176,42.0758774276274,1.30821795833412e-05,0.00369049968432564
"krt5",-2.21732403380193,13.7995378828782,42.0281343289811,1.31631381322334e-05,0.00369049968432564
"pgam2",-1.96952853529624,7.15059717922371,41.9605520589927,1.32787173981286e-05,0.00369049968432564
"LOC108231564",2.55805658656568,4.40101899139361,41.9122725616979,1.33619941996764e-05,0.00369049968432564
"LOC108249994",-2.74125046679183,5.4265660650077,42.2519666884709,1.34519482061797e-05,0.00369049968432564
"rcor2",1.68460800982327,4.5195370698561,41.8205141039511,1.35219152792405e-05,0.00369049968432564
"LOC108244429",1.47415447630911,5.79476557433162,41.7305848820483,1.36807705281382e-05,0.00369049968432564
"LOC108247612",-1.92553026944038,5.408511072551,41.4775581256223,1.41392764438435e-05,0.00369049968432564
"LOC108235285",-1.77657617132184,5.54710705395907,41.4055957061073,1.42728632682007e-05,0.00369049968432564
"LOC108230245",-1.91234637249111,7.18085522786414,41.2339386618723,1.45973721636432e-05,0.00369049968432564
"LOC108245362",-2.32298038807397,5.34232650029276,41.2024154018262,1.46578758957508e-05,0.00369049968432564
"klf5l",-1.74475508964268,5.54843395230218,41.1642006315314,1.47316069352091e-05,0.00369049968432564
"adgrl2a",1.28094861482295,5.96274879828173,41.1319049133966,1.47942478830119e-05,0.00369049968432564
"LOC108243360",-3.08275639493353,3.42927110762132,41.0792408685607,1.48970483348895e-05,0.00369049968432564
"pof1b",-1.96050770099408,7.56589868646788,40.9569030534367,1.51390134795382e-05,0.00369049968432564
"LOC108245323",-1.71123201598955,4.71082385907333,40.9550918075882,1.51426293757009e-05,0.00369049968432564
"LOC108244150",-1.98439665534602,7.76189561035434,40.8451575488492,1.53639539034717e-05,0.00370236763334558
"tfap2c",-1.33264159146467,6.21031777843914,40.7537879666772,1.55507146489137e-05,0.00370573530083614
"arhgap12b",1.35424960984471,5.51078887755224,40.3290185073268,1.64536756357853e-05,0.00370893773654746
"znf750",-2.47052414874947,3.59629718213386,40.288353285881,1.65432145552098e-05,0.00370893773654746
"anxa3a",-1.69398385258504,5.1911922787606,40.2591682475017,1.66078185021266e-05,0.00370893773654746
"LOC108228717",1.63486688688185,5.06065858686881,40.2192016776243,1.66967559895723e-05,0.00370893773654746
"LOC119617237",-2.23366086636696,4.3575299438468,40.1587785277273,1.68322492728122e-05,0.00370893773654746
