"","logFC","logCPM","F","PValue","FDR"
"rnf169",1.94280856294377,3.8915095669955,28.3369904552127,0.000100880107272488,0.0618505134460695
"ano1a",-1.24429184267069,6.85088696792551,28.2154659542192,0.0001030189002636,0.0618505134460695
"LOC108235806",-1.73687201579917,6.00173454232798,28.0721117827468,0.000105608758250156,0.0618505134460695
"LOC108242575",-2.26490410262746,5.74023135257408,28.1623944877472,0.000110668223996389,0.0618505134460695
"LOC108237197",-1.99716252056396,5.05129358192216,27.7978820188744,0.000110772954587533,0.0618505134460695
"LOC108248498",-1.26549787619416,6.50521992570618,27.6973599936192,0.000112737720664964,0.0618505134460695
"lgals17",-1.9127259275684,4.94593511201919,27.5847213319596,0.000114986751977659,0.0618505134460695
"si:dkey-97m3.1",-1.40534087679875,5.39499964215519,27.5369347892438,0.000115956340988101,0.0618505134460695
"pttg1ipa",-1.47170950223568,5.31376393181164,27.5066052739548,0.000116576569202362,0.0618505134460695
"LOC108251600",-1.88776287092591,4.40585876752026,27.4176558399241,0.000118417514224738,0.0618505134460695
"LOC108230215",-2.38263591127271,5.31286001407282,27.2348014892631,0.000129928189492406,0.0618505134460695
"LOC108237942",-1.69491429430292,3.88385325750806,26.8204724410721,0.000131672992552482,0.0618505134460695
"dbpb",-2.6088522961413,4.01817257283784,26.830414912302,0.000133548092040323,0.0618505134460695
"esyt3",-1.77953566124854,5.71949076255534,26.6332161968727,0.000136172730631972,0.0618505134460695
"epcam",-1.27946151850629,8.58820967475094,26.5611454934262,0.000137951185699278,0.0618505134460695
"LOC108234124",-1.35925014858735,6.3636443759651,26.4931988399931,0.000139652202403943,0.0618505134460695
"tefb",-3.06565740414882,4.31623635016387,26.8253599051978,0.000140335408150981,0.0618505134460695
"trip10b",-2.29842812753113,6.0682315422477,26.8028929803266,0.000140893597545716,0.0618505134460695
"LOC108250972",-1.3032093000253,5.20926848741827,26.4141347179884,0.000141661771257111,0.0618505134460695
"rcl1",-1.46959490112255,5.38063208526528,26.4012395704497,0.000141992649132886,0.0618505134460695
"cratb",-1.7651794785405,7.31735663113557,26.4199907068182,0.000142947284837122,0.0618505134460695
"LOC108251545",-2.45775218560033,4.82472128141627,26.6462800367851,0.000143471953377761,0.0618505134460695
"pgm1",-1.27418055567207,8.30255800099622,26.0835690461314,0.000150429278412586,0.0618505134460695
"dtl",2.33983435025767,2.38774231916957,25.9412232268931,0.000154394386872457,0.0618505134460695
"LOC108242636",-1.58102618295361,5.30370332508211,25.9013740760975,0.000155525695261565,0.0618505134460695
"LOC108240021",5.14316939317819,3.41797910482221,26.853994016384,0.000155798806823433,0.0618505134460695
"LOC108231477",-4.05650259558764,3.17237936620365,26.2049313416463,0.00015595815977863,0.0618505134460695
"snapc2",1.54787032193159,3.78638011519021,25.8612771357998,0.000156673604154547,0.0618505134460695
"akt1s1",-1.82840602778303,7.28875932257829,25.7846844770224,0.000161344024287767,0.0618505134460695
"herpud2",-1.41748029430464,5.55624209377809,25.6536967461298,0.000162773227694363,0.0618505134460695
"cavin2",-1.21931555693141,7.97793937970117,25.6422623763157,0.000163117021788009,0.0618505134460695
"si:ch73-95l15.5",-1.71550545006629,3.66115041084106,25.0746632251565,0.000181273130000695,0.0618505134460695
"LOC108233349",1.90448616123757,4.79385637479167,24.8882733450822,0.000187730928248961,0.0618505134460695
"nipsnap3a",-1.34536637881725,6.14781871850067,24.8359688481882,0.000189590048273611,0.0618505134460695
"atad5a",1.59208542881231,5.16108463775659,24.708165879025,0.000194221837840673,0.0618505134460695
"ssuh2rs1",-1.98101916244585,6.28946131120925,24.8925379791831,0.00019447059629907,0.0618505134460695
"LOC108238954",-2.08513670607949,6.61507642102732,24.9537959996024,0.000196000689671044,0.0618505134460695
"rcc2",1.08383264641694,6.99478768192714,24.5864228750036,0.000198754567624914,0.0618505134460695
"LOC108245508",-1.74684192559896,5.28932889313392,24.563416051123,0.000199624667290813,0.0618505134460695
"LOC108237794",-1.83608972691828,4.87199808212298,24.4339050240625,0.000204604615357599,0.0618505134460695
"LOC108229705",-1.56409805469268,8.73225985503608,24.3333459379323,0.000208569289052184,0.0618505134460695
"pfkmb",-2.72645377778064,5.01334327365542,24.7214677515712,0.000208604591721868,0.0618505134460695
"tspan3a",-1.58950273011875,6.61900554357967,24.3195566724872,0.000209119760906845,0.0618505134460695
"mpv17",1.7040070135816,3.53772660366832,24.2939259380391,0.000210147363158726,0.0618505134460695
"rcn3",2.48474787551603,5.02068681055869,24.5818229862196,0.000211063956188611,0.0618505134460695
"ezh1",-1.57968314708375,6.72489080283446,24.1680486778722,0.000215278587501055,0.0618505134460695
"kntc1",1.51878168796199,4.10413201724798,24.1348223666395,0.000216656790458455,0.0618505134460695
"si:ch211-207d6.2",-2.41896518995031,4.12955400511757,24.2057432946866,0.000216819136867428,0.0618505134460695
"ppp2cab",-2.14663666406796,5.8128798826775,24.2836773092625,0.000223185858620111,0.0618505134460695
"knl1",1.31845202744,5.08023110999659,23.8575913730544,0.000228557424797548,0.0618505134460695
"LOC108239330",-1.17420589988757,7.71821454519577,23.8248524544341,0.000230011478219723,0.0618505134460695
"hif1an",-1.74714639692853,3.99134058704471,23.7949933150252,0.00023134685056646,0.0618505134460695
"si:dkey-79d12.5",-2.00058746905797,3.5970921413209,23.7302375737208,0.000234273427925295,0.0618505134460695
"pdcd4a",-1.42882756425113,7.48823526189833,23.6942530304008,0.000235917987167825,0.0618505134460695
"pold1",1.362468806027,4.37592786436487,23.5603721181157,0.000242153472584101,0.0618505134460695
"LOC108232646",-1.58534678439873,4.44297394652388,23.536539540951,0.000243283104881421,0.0618505134460695
"cpamd8",-1.40710991529759,6.74954443351161,23.5072678707651,0.000244678790088111,0.0618505134460695
"cdca2",1.70074091040646,3.37931748653815,23.4918622700123,0.000245417008127702,0.0618505134460695
"LOC108234206",-1.83575597442206,4.33858419046864,23.4700705379892,0.000246465591496196,0.0618505134460695
"tmem54a",-1.46906267276228,4.79741997873333,23.4420795933618,0.000247819989192207,0.0618505134460695
"LOC108249673",1.14529138740559,7.10123913328347,23.4380959564006,0.000248013435742154,0.0618505134460695
"egln3",-4.43239091015719,4.88616717694424,25.2262825286924,0.000257105838857267,0.0619736431456997
"LOC108248502",-2.33431320229846,6.48764833343993,23.5543796453718,0.000260124828842779,0.0619736431456997
