"","logFC","logCPM","F","PValue","FDR"
"LOC108239430",-4.74592373115384,4.69854070456227,26.1191245380654,0.000217743958802239,0.0705341226671065
"tspan4a",-1.39715449297362,4.17356995605441,23.9224581124582,0.000225707362935621,0.0705341226671065
"cplx4c",-7.11635728103801,2.93190603068841,24.6673114729586,0.000236323714246503,0.0705341226671065
"xrcc6",1.1968895621836,5.11532847878948,23.6735534597362,0.000236869968888391,0.0705341226671065
"dkk3a",-2.63900973176552,2.27673975953352,23.4722880216422,0.000246358656130167,0.0705341226671065
"LOC108238747",-2.40630774195978,2.28364773046784,23.436376780761,0.000248096972688173,0.0705341226671065
"LOC108250328",-2.22454275123117,5.85064345915368,23.8005164785241,0.000248145897506662,0.0705341226671065
"hspb1",1.54763491618439,6.93401395827067,23.3416162828984,0.000252751617741695,0.0705341226671065
"npy4r",-2.6405472024957,1.90150415967997,23.3204577680586,0.0002538045032174,0.0705341226671065
"rcvrna",-3.86186979802154,3.40887780010392,23.6490017806838,0.000255443030681781,0.0705341226671065
"fscn2a",-4.65062073294053,2.57081757004551,23.4811825992313,0.000259088186342572,0.0705341226671065
"lgi3",-2.01000252292406,3.20225926182641,23.1307149849693,0.000263473753938087,0.0705341226671065
"LOC108240502",-1.86925557441448,6.08690967867282,23.27763743248,0.000263483460512328,0.0705341226671065
"plch2b",-4.30231736504895,2.36485884188345,23.2100907355742,0.000265452962655888,0.0705341226671065
"bglapl",-7.52765354234677,3.66347536712062,25.5941505914733,0.000265507430225654,0.0705341226671065
"grk7a",-6.37297801826988,3.87314804902411,24.9118720585665,0.000267701122139137,0.0705341226671065
"zgc:65851",-2.27092132843385,5.42817457206517,23.287076414711,0.00027020356399476,0.0705341226671065
"galnt9",-1.75936005468868,3.76533397570789,22.8220595649743,0.000280116121457515,0.0705341226671065
"nfascb",-3.27928589457837,2.69604616350383,22.794986258505,0.000281632305999936,0.0705341226671065
"myo3a",-3.28356919976439,2.89414020461246,22.6912872048672,0.000290025587846737,0.0705341226671065
"LOC108247216",-3.79189570119477,2.43639208267236,22.7304421095053,0.000291822111596114,0.0705341226671065
"lactbl1b",-3.51198629004422,2.08780394594052,22.6098326775859,0.000292256432596653,0.0705341226671065
"ppm1e",-1.62344036554118,5.15328379751831,22.6009169486156,0.000292779460338786,0.0705341226671065
"LOC108249148",-2.06632907409806,2.75456499781569,22.5681426774771,0.000294711326448098,0.0705341226671065
"LOC108233778",3.28418221044789,8.05647974174635,24.2822675841638,0.000295242802329574,0.0705341226671065
"saga",-4.12462032657142,3.5231676102535,22.9769354858805,0.000295988764864064,0.0705341226671065
"slc1a3a",1.0144900317803,5.32470996952163,22.2594737889289,0.000313638270352327,0.0732003371682099
"LOC108232305",0.99885478869625,5.79958066713615,22.1690612923378,0.000319442540526872,0.0732003371682099
"LOC108243686",-3.4636623333918,4.51393459352987,23.0202401855438,0.000321045576290053,0.0732003371682099
"slc16a1a",-1.97847285425121,4.25114584322739,22.1426909652516,0.000321158506138919,0.0732003371682099
"mag",-1.79166902892853,4.91418752875947,21.985832053443,0.000331585946618394,0.0732003371682099
"rom1a",-5.54507554926916,3.96240861762155,23.7548527342835,0.000331895946924996,0.0732003371682099
"prph2a",-4.76765938664817,3.61437355798888,22.7959732025142,0.00033509809742669,0.0732003371682099
"LOC108235662",-1.3669416238547,4.45769010178577,21.9035182790567,0.000337212361699359,0.0732003371682099
"lurap1",-2.08175320359489,3.31125703871578,21.8936386877518,0.000337894968044611,0.0732003371682099
"plp1b",-3.38322341337028,4.83071806607563,22.549290964021,0.000354117365990428,0.0759475514839671
"LOC108241772",-1.24560959556119,6.73751281813221,21.4747773507052,0.000368342008227913,0.0779820213598027
"acta2",-1.76607398184547,5.17163450773212,21.4801971605974,0.000370946722263437,0.0779820213598027
"slc6a1l",-3.65326628153628,2.37001139564499,21.4339852454623,0.000374511502777064,0.0779820213598027
"LOC112451355",2.08074499713824,3.41303605344652,21.3445972015515,0.000378434991181893,0.0780413005372891
"atp1a3b",-1.36908178109345,7.24602451487093,21.2215930965067,0.000388262978092262,0.0785600847091362
"rgs9a",-6.46511333401341,2.96358119921516,22.0359240103015,0.000388276634455562,0.0785600847091362
"tnnt1",-2.05605821895812,5.59438769559266,21.3310168415254,0.000399428304442232,0.0793852574869697
"LOC108240550",-1.73622375607628,2.84446463749463,21.0471712454571,0.000402703529488023,0.0793852574869697
"LOC108231628",-1.47586106043986,4.60333466442598,21.0382394003113,0.000403459368027216,0.0793852574869697
"reep6",-3.07562363030716,1.97882499006551,20.9383129142393,0.000412026921252116,0.0803340125463102
"gnb3b",-7.44752269299957,5.75094634776543,24.6915249850952,0.000419979115608739,0.0807068691673551
"lrit3a",-5.15671256497052,1.30538198255589,20.799434316889,0.000424281787023191,0.0807068691673551
"prdx2",1.20009552615903,7.51374259044426,20.7888966404644,0.000425228526876072,0.0807068691673551
"LOC108230875",-1.17532988402644,5.68980096671979,20.5721233606721,0.000445250279536756,0.0830901292132461
"kif23",1.32811911472881,4.68339260109915,20.5691334990977,0.000445533867651574,0.0830901292132461
"sept12",1.0105580768508,5.91786373229122,20.4735690626901,0.000454707846520119,0.0833720637145637
"LOC108245302",-2.6686877804344,2.13701963024676,20.467822642037,0.000455266336419546,0.0833720637145637
"slc4a5a",-5.4793238150381,1.14098250172598,20.4057484130831,0.000461349531501899,0.0833720637145637
"LOC108247794",-3.20244508662861,1.82294411462062,20.3931544792697,0.000462595028770135,0.0833720637145637
"arhgap19",1.01431135260724,5.32185828301071,20.1630449105882,0.000486042825898212,0.0865587730335767
"LOC108241243",-5.60788776956682,3.16704076707985,21.1395534274555,0.000488348558635836,0.0865587730335767
"afp4",2.94157712992906,7.90487238365318,21.1789180241842,0.00050329599181346,0.0871084343146861
"LOC108234064",-1.71976730169325,4.61283277407022,20.0005699037414,0.000503417849393381,0.0871084343146861
"larp7",0.953111015098263,5.43653440060813,19.9985860414216,0.000503634347695299,0.0871084343146861
